trade_id,date,direction,signal_bar_time,signal_bar_number,entry_time,entry_bar_number,exit_time,exit_bar_number,entry_price,exit_price,stop_loss,target,exit_reason,pnl_points,pnl_amount,bars_held,lots,signal_bar_range,signal_bar_body_ratio,signal_bar_close_position
124,2023-07-24,LONG,10:00,10,10:10,12,10:15,13,19738.5,19761.5,19713.4,19762.5,TARGET,23.0,1645.0,1,1,20.1,0.7413,0.9204
125,2023-07-24,LONG,10:25,15,10:35,17,11:25,27,19778.95,19753.0,19754.0,19802.95,STOP_LOSS,-25.95,-2026.25,10,1,19.95,0.7168,0.802
126,2023-07-25,SHORT,09:35,5,09:45,7,11:05,23,19676.35,19653.35,19706.1,19652.35,TARGET,23.0,1645.0,16,1,24.75,0.8586,0.1051
127,2023-07-26,LONG,09:20,2,09:30,4,09:50,8,19753.65,19784.35,19717.65,19785.35,TARGET,30.7,2222.5,4,1,32.7,0.7339,0.9297
128,2023-07-26,LONG,10:20,14,10:30,16,10:55,21,19818.6,19797.6,19798.6,19842.6,STOP_LOSS,-21.0,-1655.0,5,1,15.0,0.9733,0.9733
129,2023-08-01,LONG,09:45,7,09:55,9,10:20,14,19785.45,19760.35,19761.35,19809.45,STOP_LOSS,-25.1,-1962.5,5,1,19.1,0.8377,0.9346
130,2023-08-04,SHORT,09:35,5,09:45,7,11:15,25,19461.1,19498.1,19497.1,19427.85,STOP_LOSS,-37.0,-2855.0,18,1,34.25,0.8511,0.0613
131,2023-08-07,SHORT,09:20,2,09:30,4,09:35,5,19543.5,19562.85,19572.7,19519.5,FT_FAILURE,-19.35,-1531.25,1,1,24.2,0.8347,0.1653
132,2023-08-07,LONG,10:00,10,10:10,12,10:25,15,19559.9,19582.9,19538.65,19583.9,TARGET,23.0,1645.0,3,1,16.25,0.6246,0.9908
133,2023-08-08,SHORT,09:30,4,09:45,7,11:15,25,19582.75,19559.75,19611.0,19558.75,TARGET,23.0,1645.0,18,1,23.25,0.6688,0.1398
134,2023-08-09,SHORT,09:25,3,09:35,5,10:15,13,19519.3,19496.3,19548.0,19495.3,TARGET,23.0,1645.0,8,1,23.7,0.8945,0.0612
135,2023-08-10,SHORT,10:25,15,10:35,17,10:40,18,19531.8,19508.8,19557.75,19507.8,TARGET,23.0,1645.0,1,1,20.95,0.7566,0.2291
136,2023-08-11,SHORT,09:35,5,09:45,7,11:00,22,19468.1,19445.1,19491.95,19444.1,TARGET,23.0,1645.0,15,1,18.85,0.7825,0.0265
137,2023-08-16,LONG,09:35,5,09:45,7,10:45,19,19375.1,19404.5,19339.1,19405.5,TARGET,29.4,2125.0,12,1,31.4,0.7978,0.9092
138,2023-08-17,SHORT,09:25,3,09:35,5,10:00,10,19407.0,19378.65,19442.35,19377.65,TARGET,28.35,2046.25,5,1,30.35,0.9193,0.0692
139,2023-08-18,SHORT,09:35,5,09:45,7,10:10,12,19288.3,19261.3,19322.3,19260.3,TARGET,27.0,1945.0,5,1,29.0,0.7621,0.1034
140,2023-08-21,LONG,09:20,2,09:30,4,09:45,7,19359.25,19336.15,19337.15,19383.25,STOP_LOSS,-23.1,-1812.5,3,1,17.1,0.5322,0.9298
141,2023-08-21,SHORT,09:50,8,10:00,10,10:25,15,19311.45,19337.0,19336.0,19287.45,STOP_LOSS,-25.55,-1996.25,5,1,19.55,0.9668,0.0
142,2023-08-22,LONG,09:25,3,09:35,5,09:50,8,19431.55,19395.0,19396.0,19461.1,STOP_LOSS,-36.55,-2821.25,3,1,30.55,0.8363,0.9902
143,2023-08-22,LONG,10:05,11,10:15,13,12:00,34,19411.05,19434.05,19387.95,19435.05,TARGET,23.0,1645.0,21,1,18.1,0.5166,0.9751
144,2023-08-28,LONG,10:25,15,10:35,17,12:30,40,19310.75,19333.75,19288.7,19334.75,TARGET,23.0,1645.0,23,1,17.05,0.7683,0.9765
145,2023-08-29,LONG,09:30,4,09:40,6,10:20,14,19342.95,19318.05,19319.05,19366.95,STOP_LOSS,-24.9,-1947.5,8,1,18.9,0.9127,0.9894
146,2023-08-31,SHORT,09:20,2,09:30,4,09:35,5,19348.0,19372.65,19377.95,19324.0,FT_FAILURE,-24.65,-1928.75,1,1,24.95,0.9279,0.0621
147,2023-08-31,LONG,09:45,7,09:55,9,10:05,11,19387.05,19360.85,19361.85,19411.05,STOP_LOSS,-26.2,-2045.0,2,1,20.2,0.5644,0.7847
148,2023-08-31,SHORT,10:25,15,10:35,17,11:05,23,19330.3,19307.3,19350.35,19306.3,TARGET,23.0,1645.0,6,1,15.05,0.9136,0.0698
149,2023-09-01,LONG,09:30,4,09:40,6,10:05,11,19316.35,19287.9,19288.9,19340.35,STOP_LOSS,-28.45,-2213.75,5,1,22.45,0.8731,1.0
150,2023-09-01,LONG,10:15,13,10:25,15,11:00,22,19320.25,19343.25,19300.25,19344.25,TARGET,23.0,1645.0,7,1,15.0,0.7267,0.8333
151,2023-09-05,LONG,09:25,3,09:35,5,09:50,8,19555.8,19578.8,19534.0,19579.8,TARGET,23.0,1645.0,3,1,16.8,0.6071,0.8452
152,2023-09-05,LONG,10:20,14,10:35,17,12:30,40,19572.95,19547.5,19548.5,19596.95,STOP_LOSS,-25.45,-1988.75,23,1,19.45,0.7815,1.0
153,2023-09-06,LONG,09:35,5,09:45,7,09:50,8,19597.9,19577.55,19575.15,19621.9,FT_FAILURE,-20.35,-1606.25,1,1,17.75,0.9859,0.9859
154,2023-09-07,LONG,10:10,12,10:25,15,11:00,22,19596.9,19619.9,19571.1,19620.9,TARGET,23.0,1645.0,7,1,20.8,0.7885,0.9279
155,2023-09-08,LONG,09:25,3,09:35,5,09:40,6,19784.65,19758.55,19759.55,19808.65,STOP_LOSS,-26.1,-2037.5,1,1,20.1,0.7413,0.9751
156,2023-09-08,SHORT,10:15,13,10:25,15,10:30,16,19756.45,19733.45,19783.45,19732.45,TARGET,23.0,1645.0,1,1,22.0,0.7114,0.0864
